brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,description
Audi,Q5 2.0T Premium Plus,2017,81880,Petrol,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,Automatic,Mythos Black Metallic,Black,0,Yes,21375,Audi Q5 2.0T Premium Plus Petrol 2.0L I4 16V GDI DOHC Turbo Flexible Fuel Interior color: Black exterior color: Mythos Black Metallic Automatic car 2017
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,Petrol,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,0,Yes,48000,Mercedes-Benz AMG C 43 Base 4MATIC Petrol 362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Silver Automatic car 2018
Dodge,Ram 1500 Laramie Mega Cab,2006,300183,Petrol,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,1,Yes,10900,Dodge Ram 1500 Laramie Mega Cab Petrol 345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel Interior color: Gray exterior color: Silver Automatic car 2006
BMW,i3 120Ah w/Range Extender,2020,35035,Hybrid,120 AH,Automatic,Black,Black,0,No,24998,BMW i3 120Ah w/Range Extender Hybrid 120 AH Interior color: Black exterior color: Black Automatic car 2020
Kia,Sorento SX,2011,171000,Petrol,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,0,Yes,5999,Kia Sorento SX Petrol 276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2011
Lexus,LX 570 Base,2016,118700,Petrol,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,0,Yes,46900,Lexus LX 570 Base Petrol 383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel Interior color: Beige exterior color: Black Automatic car 2016
Jeep,New Compass Trailhawk,2017,119000,Petrol,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,0,Yes,15900,Jeep New Compass Trailhawk Petrol 180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Red Automatic car 2017
BMW,340 i,2018,44261,Petrol,3.0 Liter Turbo,Automatic,Gray,Black,0,No,33598,BMW 340 i Petrol 3.0 Liter Turbo Interior color: Black exterior color: Gray Automatic car 2018
Audi,A4 2.0T Premium Plus quattro,2012,125575,Petrol,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,0,Yes,8999,Audi A4 2.0T Premium Plus quattro Petrol 211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Silver Automatic car 2012
Hyundai,Tucson SE,2007,16200,Petrol,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Gold,Beige,0,Yes,8200,Hyundai Tucson SE Petrol 173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel Interior color: Beige exterior color: Gold Automatic car 2007
BMW,Z4 sDrive28i,2014,70000,Petrol,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,1,Yes,20000,BMW Z4 sDrive28i Petrol 240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Beige exterior color: White Automatic car 2014
Bentley,Continental GTC Base,2011,20200,Petrol,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,Automatic,Black,Black,0,Yes,79950,Bentley Continental GTC Base Petrol 552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability Interior color: Black exterior color: Black Automatic car 2011
Honda,Passport Elite,2023,2978,Petrol,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,0,No,45498,Honda Passport Elite Petrol 3.5 Liter SOHC Interior color: Gray exterior color: Lunar Silver Metallic Automatic car 2023
Dodge,Sprinter 2500,2007,189719,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,Automatic,White,Gray,1,Yes,14000,Dodge Sprinter 2500 Diesel 3.0L V6 Cylinder Engine Diesel Fuel Interior color: Gray exterior color: White Automatic car 2007
BMW,M850 i xDrive,2019,9949,Petrol,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,0,No,75798,BMW M850 i xDrive Petrol 4.4 Liter DOHC Twin Turbo Interior color: Black exterior color: Blue Automatic car 2019
Lucid,Air Grand Touring,2022,3552,Unknown,536.0HP Electric Motor Electric Fuel System,Automatic,Red,Beige,0,Yes,119999,Lucid Air Grand Touring Unknown 536.0HP Electric Motor Electric Fuel System Interior color: Beige exterior color: Red Automatic car 2022
Audi,A7 Premium,2012,54000,Petrol,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,1,Yes,36880,Audi A7 Premium Petrol 310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel Interior color: Brown exterior color: Black Automatic car 2012
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,Petrol,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,0,Yes,43147,Chevrolet Silverado 1500 Custom Trail Boss Petrol 5.3L V8 16V GDI OHV Interior color: Jet Black exterior color: Black Automatic car 2021
MINI,Convertible John Cooper Works,2017,24280,Petrol,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,1,Yes,29000,MINI Convertible John Cooper Works Petrol 228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2017
Toyota,Avalon Touring,2016,89148,Petrol,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,0,Yes,17500,Toyota Avalon Touring Petrol 268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2016
Porsche,Cayenne Platinum Edition,2017,73043,Petrol,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,0,Yes,30990,Porsche Cayenne Platinum Edition Petrol 300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: White Automatic car 2017
Mercedes-Benz,AMG C 63 S,2017,60000,Petrol,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,1,Yes,52500,Mercedes-Benz AMG C 63 S Petrol 503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Gray Automatic car 2017
Honda,CR-V EX-L,2016,73549,Petrol,2.4L I4 16V GDI DOHC,Automatic,Mountain Air Metallic,Black,1,No,20848,Honda CR-V EX-L Petrol 2.4L I4 16V GDI DOHC Interior color: Black exterior color: Mountain Air Metallic Automatic car 2016
Hummer,H2 Base,2005,110900,Petrol,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,0,Yes,19500,Hummer H2 Base Petrol 325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Gray Automatic car 2005
Porsche,911 Carrera S,2013,39000,Petrol,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,0,Yes,73000,Porsche 911 Carrera S Petrol 400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Blue Automatic car 2013
Mercedes-Benz,CLA-Class CLA 250,2016,120000,Petrol,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,0,Yes,19800,Mercedes-Benz CLA-Class CLA 250 Petrol 208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2016
Chrysler,300 Touring,2009,134602,Petrol,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,0,Yes,7500,Chrysler 300 Touring Petrol 250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Blue Automatic car 2009
Nissan,Rogue SV,2023,1094,Petrol,1.5L I3 12V GDI DOHC Turbo,Automatic,Caspian Blue,Light Gray,0,No,30999,Nissan Rogue SV Petrol 1.5L I3 12V GDI DOHC Turbo Interior color: Light Gray exterior color: Caspian Blue Automatic car 2023
Audi,A3 2.0T,2010,83500,Petrol,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,0,Yes,6500,Audi A3 2.0T Petrol 200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Silver Automatic car 2010
Ford,Mustang GT Premium,2014,37060,Petrol,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Manual,Black,Black,0,Yes,28500,Ford Mustang GT Premium Petrol 420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Manual car 2014
Acura,RL Technology,2010,97700,Petrol,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Beige,0,Yes,10995,Acura RL Technology Petrol 300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel Interior color: Beige exterior color: Blue Automatic car 2010
Volvo,XC90 Hybrid T8 R-Design,2018,40000,Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Automatic,Black,Black,0,Yes,42000,Volvo XC90 Hybrid T8 R-Design Hybrid 400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas Interior color: Black exterior color: Black Automatic car 2018
Audi,R8 5.2 V10,2018,8940,Petrol,5.2L V10 40V PDI DOHC,Automatic,Tango Red Metallic,Black,0,No,144900,Audi R8 5.2 V10 Petrol 5.2L V10 40V PDI DOHC Interior color: Black exterior color: Tango Red Metallic Automatic car 2018
Mercedes-Benz,GLK-Class GLK 350,2014,186000,Petrol,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,1,Yes,10000,Mercedes-Benz GLK-Class GLK 350 Petrol 302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel Interior color: Beige exterior color: Black Automatic car 2014
Toyota,C-HR LE,2021,13180,Petrol,2.0 Liter,Unknown,–,–,0,No,23998,Toyota C-HR LE Petrol 2.0 Liter Interior color: – exterior color: – Unknown car 2021
Lexus,IS 350 Base,2014,104000,Petrol,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,0,Yes,21000,Lexus IS 350 Base Petrol 306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2014
BMW,X4 M40i,2023,8500,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Gray,Beige,0,Yes,67900,BMW X4 M40i Hybrid 382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid Interior color: Beige exterior color: Gray Automatic car 2023
BMW,M4 CS,2019,19069,Petrol,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,0,No,69998,BMW M4 CS Petrol 3.0 Liter DOHC Turbo Interior color: Anthracite exterior color: Alpine White Automatic car 2019
Cadillac,CT5 Premium Luxury,2023,6090,Petrol,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,0,Yes,46900,Cadillac CT5 Premium Luxury Petrol 237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Beige exterior color: White Automatic car 2023
Lucid,Air Grand Touring,2022,4900,Unknown,536.0HP Electric Motor Electric Fuel System,Automatic,Red,Black,0,Yes,99000,Lucid Air Grand Touring Unknown 536.0HP Electric Motor Electric Fuel System Interior color: Black exterior color: Red Automatic car 2022
Audi,A5 2.0T Premium Plus,2019,47523,Petrol,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,0,Yes,31000,Audi A5 2.0T Premium Plus Petrol 248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2019
Chrysler,300C SRT8,2006,43000,Petrol,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,1,Yes,19995,Chrysler 300C SRT8 Petrol 425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Silver Automatic car 2006
Bentley,Continental GT W12,2017,14684,Petrol,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Automatic,White,White,0,Yes,130000,Bentley Continental GT W12 Petrol 582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel Interior color: White exterior color: White Automatic car 2017
BMW,M4 Base,2019,57800,Petrol,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Red,0,Yes,55999,BMW M4 Base Petrol 425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel Interior color: Red exterior color: Black Automatic car 2019
Toyota,GR Corolla Circuit Edition,2023,952,Petrol,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,Manual,Silver,Gray,0,Yes,49950,Toyota GR Corolla Circuit Edition Petrol 300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel Interior color: Gray exterior color: Silver Manual car 2023
Audi,RS 5 2.9T,2019,21240,Petrol,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,1,Yes,59950,Audi RS 5 2.9T Petrol 444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2019
Porsche,Cayenne Base,2019,59338,Petrol,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,0,Yes,42499,Porsche Cayenne Base Petrol 335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2019
Lamborghini,Huracan Tecnica Coupe,2023,255,Petrol,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,0,No,359991,"Lamborghini Huracan Tecnica Coupe Petrol 5.2L V-10 gasoline direct injection, DOHC, variable valve contro Interior color: Nero Ade exterior color: BLU ELEOS Automatic car 2023"
Maserati,Quattroporte S,2019,23230,Petrol,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,0,Yes,44999,Maserati Quattroporte S Petrol 424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2019
Jaguar,XF 35t R-Sport,2017,48000,Petrol,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,1,Yes,30000,Jaguar XF 35t R-Sport Petrol 340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Red Automatic car 2017
Lexus,ES 330 Base,2005,41059,Petrol,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,0,Yes,11100,Lexus ES 330 Base Petrol 225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel Interior color: Beige exterior color: White Automatic car 2005
Land,Rover Discovery Sport SE R-Dynamic,2020,21240,Petrol,2.0 Liter,Automatic,White,Black,0,No,37998,Land Rover Discovery Sport SE R-Dynamic Petrol 2.0 Liter Interior color: Black exterior color: White Automatic car 2020
Porsche,Cayman GTS,2015,11500,Petrol,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Silver,–,0,Yes,72000,Porsche Cayman GTS Petrol 340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel Interior color: – exterior color: Silver Automatic car 2015
Genesis,G90 3.3T Premium,2021,9950,Petrol,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Blue,0,Yes,53950,Genesis G90 3.3T Premium Petrol 365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel Interior color: Blue exterior color: Silver Automatic car 2021
Volkswagen,Golf R 20th Anniversary Edition,2023,633,Petrol,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,0,Yes,47999,Volkswagen Golf R 20th Anniversary Edition Petrol 315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: White Manual car 2023
Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Gray,1,Yes,15900,Hyundai Sonata Hybrid Limited Hybrid 199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid Interior color: Gray exterior color: White Automatic car 2015
Audi,RS 7 4.0T Prestige,2014,59715,Petrol,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,1,Yes,45000,Audi RS 7 4.0T Prestige Petrol 560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Gray Automatic car 2014
BMW,740 Li,2012,85252,Petrol,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,0,Yes,18500,BMW 740 Li Petrol 326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2012
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Black,Black,1,Yes,80000,Mercedes-Benz GLS 450 Base 4MATIC Hybrid 362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid Interior color: Black exterior color: Black Automatic car 2020
BMW,M6 Base,2016,25500,Petrol,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,0,Yes,55000,BMW M6 Base Petrol 560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: White Automatic car 2016
Subaru,Forester 2.5 X,2004,210703,Petrol,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Manual,Green,Beige,0,No,2300,Subaru Forester 2.5 X Petrol 165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel Interior color: Beige exterior color: Green Manual car 2004
Hyundai,Elantra N Base,2023,3800,Petrol,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,0,Yes,34000,Hyundai Elantra N Base Petrol 276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: White Manual car 2023
Kia,Niro Plug-In Hybrid EX Premium,2022,36602,Hybrid,1.6L I4 16V GDI DOHC Hybrid,Automatic,Horizon Blue,Charcoal,0,Yes,31995,Kia Niro Plug-In Hybrid EX Premium Hybrid 1.6L I4 16V GDI DOHC Hybrid Interior color: Charcoal exterior color: Horizon Blue Automatic car 2022
Rivian,R1S Adventure Package,2023,2800,Unknown,835.0HP Electric Motor Electric Fuel System,Automatic,White,Green,0,Yes,92000,Rivian R1S Adventure Package Unknown 835.0HP Electric Motor Electric Fuel System Interior color: Green exterior color: White Automatic car 2023
Aston,Martin DBS Superleggera,2021,2165,Petrol,5.2L V12 48V GDI DOHC Twin Turbo,Automatic,Black,Black,0,Yes,279950,Aston Martin DBS Superleggera Petrol 5.2L V12 48V GDI DOHC Twin Turbo Interior color: Black exterior color: Black Automatic car 2021
Mercedes-Benz,SLC 300 Base,2018,33000,Petrol,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,1,Yes,29900,Mercedes-Benz SLC 300 Base Petrol 241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Red Automatic car 2018
BMW,435 Gran Coupe i,2016,76009,Petrol,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,0,Yes,24950,BMW 435 Gran Coupe i Petrol 300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel Interior color: Beige exterior color: White Automatic car 2016
